id,fullName,phoneNumber,username,password,email
1,Chị Ngọc Vũ,+84-94-544027,duongjane,7(a)F1ot#n,jane00@example.com
2,Chị Nhật Hoàng,+84 51 0182668,jane56,0kaLMSA_$r,lejohn@example.com
3,Nhiên Trần,+84-98-956 8090,bnguyen,cqVPjBCO*1,buijane@example.org
4,Nhật Quang Trần,+84 57 4861012,janeduong,9j6#mO%x*@,hoangjohn@example.com
5,Bảo Mai Bảo Trần,07 6819003,phamjohn,+$3VNWlqa7,cbui@example.org
6,Anh Anh Mai,(09) 0777 2281,johnmai,ML(54HhLzH,john96@example.org
7,Quý ông Nam Trần,+84-26-264398,dangjohn,#3h5JhSTg2,buijane@example.com
8,Quý cô An Phạm,(05) 5578 2732,buijohn,#23BexHaNb,tranjohn@example.org
9,Vân Lê,(05) 1119 1151,kdang,7W4GXJhK)1,john58@example.org
10,Cô Hải Dương,(03) 7060 2548,john17,+4sHfR9nHC,mduong@example.net
11,Tú Hải Nguyễn,+84 06 7962121,jane59,7cj78$Wk%W,johnmai@example.org
12,Nhật Vũ,(01)268-9919,knguyen,W41vF2Bw+X,vvu@example.net
13,Nam Vũ,+84-11-394 9978,dangjane,H!2GLLBf1!,john32@example.net
14,Châu Trần,(02)120-6634,janepham,%2bXjNmiL3,buijane@example.org
15,Bác Hưng Lê,(03)376-8473,jane20,ktS#2Oz3sN,vujane@example.org
16,Nhật Hoàng,(03) 8828 9837,john78,Q2VO#9Ga$L,jane54@example.org
17,Vũ Xuân Dương,00 1954 3961,john23,+3T&d$kkHy,jane78@example.net
18,Bà An Trần,07 9838 9065,hoangjohn,BQwrr6Ra%e,gbui@example.com
19,Bác Trọng Nguyễn,+84-17-147057,buijane32,&YpYqCEny6,johnbui@example.com
20,Thành Mai Mai,(09)020-0905,john76,Nhd)3KyuX8,cdang@example.com
21,Quý cô Thảo Bùi,(09)175-5726,bhoang,9&6&MG@ouI,wle@example.org
22,Phúc Hải Đặng,09 9826 9656,johnnguyen,$ftEMlcql7,johnvu@example.net
23,Tú Quang Nguyễn,+84 96 8218257,duongjohn,22DybDK_#6,lejohn@example.net
24,Quý cô An Hoàng,03 0795 5541,janebui,%@(xR5BaWp,jane67@example.com
25,Hà Hoàng Nguyễn,+84-59-641217,maijohn,4*7Wr2RTZs,buijane@example.net
26,Hoàng Trần,+84-42-903418,jane39,_d%yTSq)A2,johntran@example.com
27,Huy Phú Dương,+84-90-082 8766,janehoang50,#gXYSjDk!3,jane21@example.net
28,Phương Mai Phạm,(03)441-7925,cpham,%pY@Di1d4M,johnvu@example.com
29,Tú Trần,+84 58 7005294,unguyen,hQ0dvDhl(n,jane77@example.com
30,Nhật Phạm,(07)650-4382,tranjohn,Trg81Oe^w(,john72@example.org
31,Ông Bảo Lê,(09)126-3202,janetran,@9PqSXl6^P,umai@example.net
32,Thành Trần,+84 82 9024311,john97,D0(0HGAr&^,janedang@example.org
33,Hạnh Đặng,+84-28-641663,vujohn,B3Fb470q*p,jane75@example.com
34,Chi Đặng,+84-39-573711,yduong,!vBsMYqFk0,janeduong@example.org
35,Cô Lâm Vũ,(01) 6058 5331,johntran,1dV4Lgzv&!,janemai@example.org
36,Huy Văn Dương,07 4033966,ale,!2(Hu)NWzJ,lejane@example.net
37,Hải Vũ,+84 61 3497123,tmai,Gq&OGqnd!1,johnpham@example.net
38,Phương Bảo Mai,(00) 1307 9468,dmai80,EQ5#ZTJdz^,jane11@example.org
39,Bà Hạnh Dương,(06) 1349 1914,qmai,!x_83IdwF1,vujohn@example.net
40,Bảo Vũ,+84 22 6884415,ztran,Xe0$XVe)a!,duongjane@example.net
41,Nhiên Văn Lê,+84-65-539486,vujane,f@m(2CkdJB,janebui@example.com
42,Quý cô Vi Bùi,+84-51-333 5867,john4661,bz1YmuUW$b,johnle@example.com
43,Nam Hoàng Dương,+84-94-841500,duongjohn64,F6h59EOu+7,janele@example.org
44,Vân Hoàng,+84-60-917 2005,tranjane44,t1tED0Ri+L,jane66@example.net
45,Bác Khoa Phạm,06 5619 6728,johnhoang,*W!0iWpij&,johnmai@example.org
46,Trung Nguyễn,+84-18-908 4047,jane03,9bIDgi1h&d,nguyenjane@example.com
47,Cô Kim Trần,(03) 0096 1381,lle,!P+@LRIOt8,wmai@example.org
48,Cô Lan Phạm,07 3534 3782,buijane,4uzr(3Iv(0,kbui@example.net
49,Quý ông Khoa Dương,03 9377 1570,johnduong,G#o3L7g@l!,gvu@example.org
50,Bà Hạnh Dương,+84-24-652062,jane1283,n)5nsGkbuh,janehoang@example.org
51,Nam Mai Lê,(09) 4466 3848,kvu70,_g@1SiETb6,janemai@example.com
52,An Dương,+84-98-856 7010,john45,PDjHs#K3$6,maijohn@example.net
53,Khoa Đức Hoàng,+84-82-180 1851,jane09,s33V)Igx!e,johntran@example.net
54,Mai Dương,01 2663099,ztran56,!nJehNEop4,maijohn@example.org
55,Anh Hưng Phạm,(04)827-3288,yvu,@1QsA_bI!u,hoangjohn@example.net
56,Chi Trần,03 6872 0592,jane2260,i^7s^!OIbg,johnpham@example.org
57,Cô Linh Hoàng,(09)416-0622,phamjane,UCk1sGrMn&,xnguyen@example.com
58,An Trần,+84-39-268 8598,rvu,^T$b4HBcAS,johnnguyen@example.com
59,Bà Ngọc Đặng,(07)583-3628,dtran56,e*B6TNk8qT,janetran@example.org
60,Chị Duyên Lê,(04) 6215 1536,john92,Bh_8KSun5t,janetran@example.org
61,Bảo Vũ,02 2776074,uduong,%Smu4OIak8,john62@example.org
62,Cô Nhật Hoàng,00 5690 1137,john89,%Tl23Dgy1D,jane53@example.org
63,Cô Hồng Phạm,+84 88 0328978,johnpham,z^i41qKt*!,jane20@example.net
64,Khoa Trần,+84 04 7755237,janehoang,&HgTZeEk+3,lejane@example.com
65,Nhật Hữu Hoàng,00 8655966,gtran,#7YxHDTiZb,john23@example.org
66,Quý cô Thảo Mai,(04)667-2413,jane89,skgIdWX#(3,janehoang@example.com
67,Kim Nguyễn,+84 99 7804054,jane70,UVu5H%Qz7*,phamjane@example.net
68,Vũ Hữu Mai,+84-42-518302,tnguyen,F4zEMn78+S,hoangjane@example.com
