id,fullName,phoneNumber,username,password,email
1,John Đặng,(05)334-5086,johnđặng98,1WX56OdGb$,johnđặng98@gmail.com
2,Jane Vũ,03 8750 5329,janevũ95,A(5N07wq@D,janevũ95@gmail.com
3,John Dương,+84-07-662253,johndương53,+s2NOtshUu,johndương53@yahoo.com
4,Jane Mai,+84 05 1704522,janemai82,IeNN#cgJ*6,janemai82@hotmail.com
5,Jane Đặng,(05) 8585 4744,janeđặng97,(Be0Ia%@ax,janeđặng97@yahoo.com
6,John Dương,+84-05-963953,johndương37,WUQ85a3zW),johndương37@gmail.com
7,John Mai,00 7428 3011,johnmai5,i^agu6KdxQ,johnmai5@yahoo.com
8,Jane Hoàng,05 8487366,janehoàng2,1dIe(6C1(l,janehoàng2@gmail.com
9,Jane Đặng,+84-43-075516,janeđặng4,ha^7h^Qp(j,janeđặng4@gmail.com
10,Jane Lê,(00) 7399 5466,janelê23,r3&COnz(_S,janelê23@yahoo.com
11,John Vũ,+84-67-703 9527,johnvũ30,28$SCoqV@M,johnvũ30@hotmail.com
12,Jane Hoàng,(08) 5591 5619,janehoàng71,*4)o@#nm5K,janehoàng71@gmail.com
13,John Nguyễn,(09)769-2355,johnnguyễn76,5^6Me5iA+8,johnnguyễn76@yahoo.com
14,John Hoàng,01 7823243,johnhoàng21,!aytZdFk7m,johnhoàng21@gmail.com
15,John Nguyễn,(02)673-0952,johnnguyễn73,1HWF4h1k(c,johnnguyễn73@gmail.com
16,Jane Đặng,+84 62 8128867,janeđặng69,@9I)bPpD(%,janeđặng69@hotmail.com
17,John Mai,02 5366779,johnmai61,06haCpd^%a,johnmai61@hotmail.com
18,Jane Lê,06 7851804,janelê16,%4gAUj(bWl,janelê16@hotmail.com
19,John Hoàng,05 6836492,johnhoàng77,^*GNKh6ed8,johnhoàng77@hotmail.com
20,John Nguyễn,+84-65-180 5777,johnnguyễn67,glLn1Hx3S*,johnnguyễn67@yahoo.com
21,Jane Trần,03 2970 3933,janetrần84,5s35jQXJ&5,janetrần84@yahoo.com
22,Jane Nguyễn,+84 49 0678216,janenguyễn83,!GQoN4Tw5v,janenguyễn83@yahoo.com
23,John Trần,06 8601003,johntrần89,wDWeWKKb*4,johntrần89@hotmail.com
24,John Bùi,07 5458 8281,johnbùi40,LK0PMN#y!X,johnbùi40@yahoo.com
25,Jane Vũ,+84 75 6523387,janevũ5,%9%59ECoft,janevũ5@gmail.com
26,John Hoàng,+84 99 0387765,johnhoàng62,B6vDcCyl^u,johnhoàng62@gmail.com
27,Jane Bùi,08 5679 9905,janebùi7,^$X6Nhea$e,janebùi7@hotmail.com
28,John Vũ,+84-20-730 5029,johnvũ36,*G5Ltzhq!v,johnvũ36@gmail.com
29,John Mai,+84-16-147536,johnmai75,hC8LZFwvy$,johnmai75@yahoo.com
30,Jane Dương,02 7007 8603,janedương94,)5iDMpc7Pm,janedương94@gmail.com
31,Jane Dương,+84 47 3991281,janedương78,(3^xRXKz!D,janedương78@hotmail.com
32,John Bùi,+84-37-577 8947,johnbùi1,&cQ8JZb0Wy,johnbùi1@gmail.com
33,Jane Đặng,(00) 2741 1172,janeđặng2,Y1R0VAyt^z,janeđặng2@yahoo.com
34,Jane Phạm,00 9998 9042,janephạm89,C$&r45Gw)i,janephạm89@hotmail.com
35,Jane Hoàng,(02) 5106 3799,janehoàng15,c$0Ggnf3K^,janehoàng15@hotmail.com
36,John Bùi,+84-21-519546,johnbùi49,V_1ttGnqx&,johnbùi49@yahoo.com
37,John Mai,(01) 1761 6223,johnmai78,@oWoY$5Ux1,johnmai78@yahoo.com
38,Jane Nguyễn,+84-74-271 1427,janenguyễn22,BS1URcGlK$,janenguyễn22@gmail.com
39,Jane Dương,04 1037 0732,janedương51,&&#(GI1kQV,janedương51@gmail.com
40,John Dương,+84-23-922 5143,johndương75,!e&GXT)KS4,johndương75@hotmail.com
41,John Vũ,+84 81 1021926,johnvũ61,XvnOlwaf%7,johnvũ61@hotmail.com
42,Jane Phạm,(08) 5582 3439,janephạm66,*5x)^veltI,janephạm66@gmail.com
43,John Dương,+84-34-154201,johndương82,)apq^CdeJ2,johndương82@gmail.com
44,John Hoàng,(08) 5764 9926,johnhoàng71,4ODwhlly+W,johnhoàng71@yahoo.com
45,John Lê,(03)478-8101,johnlê72,@sR%w1Ky%p,johnlê72@gmail.com
46,John Dương,09 5163441,johndương12,+q6Z_pR4J),johndương12@yahoo.com
47,John Dương,(04)596-2201,johndương87,##Wrh5TdNF,johndương87@yahoo.com
48,John Hoàng,08 5224 4345,johnhoàng56,L+KQR9nl!0,johnhoàng56@yahoo.com
49,John Lê,+84 61 6823115,johnlê51,85NlBSpo+4,johnlê51@hotmail.com
50,Jane Mai,+84-07-606 0205,janemai60,4u!LkKPN^w,janemai60@yahoo.com
51,Jane Hoàng,+84-05-098 4695,janehoàng65,yF*7TiurH),janehoàng65@yahoo.com
52,John Trần,+84-09-784265,johntrần26,M2y_@5Tvd4,johntrần26@hotmail.com
53,Jane Dương,+84 53 9687523,janedương22,$t8YL#OnB_,janedương22@hotmail.com
54,John Phạm,(00)971-4871,johnphạm24,)IIf6Xv92m,johnphạm24@hotmail.com
55,John Trần,+84-23-866 0901,johntrần14,_42tiCRmly,johntrần14@gmail.com
56,John Lê,(08) 7959 5952,johnlê77,&8RG7aXjt&,johnlê77@hotmail.com
57,John Lê,(02) 9393 9902,johnlê27,JB#6Ne^n)H,johnlê27@yahoo.com
58,John Lê,05 2918681,johnlê48,^eRgozap89,johnlê48@yahoo.com
59,Jane Bùi,08 6811 1088,janebùi16,O@#9O4JyZ_,janebùi16@gmail.com
60,John Hoàng,05 4426013,johnhoàng11,^gA4DouaP0,johnhoàng11@yahoo.com
61,John Phạm,+84-40-471 1437,johnphạm9,*7ISq3SuZ2,johnphạm9@hotmail.com
62,John Nguyễn,06 1906 7068,johnnguyễn92,%7CD&(^q3n,johnnguyễn92@yahoo.com
63,Jane Phạm,03 9556065,janephạm67,(eN2&Yoz2+,janephạm67@gmail.com
64,Jane Trần,09 5369597,janetrần82,@8uUg5XwDy,janetrần82@yahoo.com
65,Jane Vũ,+84-39-903820,janevũ96,4f+5HVXtKr,janevũ96@hotmail.com
66,John Phạm,+84-04-443 1895,johnphạm29,+nifuUv0e4,johnphạm29@gmail.com
67,John Phạm,(05) 6979 3894,johnphạm80,$_R68HhsbU,johnphạm80@yahoo.com
68,Jane Phạm,+84 89 6508156,janephạm84,j0NY7GPv(@,janephạm84@yahoo.com
69,John Nguyễn,06 6408494,johnnguyễn69,svV4$W)s1(,johnnguyễn69@hotmail.com
70,John Mai,+84 27 8498245,johnmai65,)7EPfJ7GZr,johnmai65@gmail.com
71,Jane Lê,00 4551402,janelê32,y^8XNlpm+q,janelê32@yahoo.com
72,Jane Dương,+84-61-185845,janedương81,@6Qek5wx$7,janedương81@gmail.com
73,Jane Lê,(09) 3734 2319,janelê52,_z@3UnrHi0,janelê52@hotmail.com
74,John Vũ,+84 90 6241289,johnvũ59,@3YHDBe)9z,johnvũ59@hotmail.com
75,John Hoàng,00 6592264,johnhoàng28,!xB@B6)Zl3,johnhoàng28@hotmail.com
76,Jane Vũ,+84-79-870767,janevũ92,5FIkIZdr%3,janevũ92@yahoo.com
77,Jane Vũ,(02)278-3541,janevũ26,0B3$1ZuFti,janevũ26@yahoo.com
78,Jane Trần,07 4712361,janetrần74,0A@7QxcX*n,janetrần74@gmail.com
79,John Lê,(06)947-7804,johnlê21,&e9#Vt1K$G,johnlê21@gmail.com
80,John Bùi,+84-75-288 5966,johnbùi2,&V4HZkHmpD,johnbùi2@gmail.com
81,Jane Trần,01 3304402,janetrần43,W7Ugcv8V++,janetrần43@hotmail.com
82,Jane Dương,04 6752519,janedương30,@2Oq)xn!_3,janedương30@gmail.com
83,John Bùi,+84-78-385 7047,johnbùi52,D*5sg6Gwpi,johnbùi52@yahoo.com
84,John Vũ,07 6824444,johnvũ43,4ZQCPGKs)2,johnvũ43@gmail.com
85,John Hoàng,+84 91 3618967,johnhoàng15,93P5D4kZ+k,johnhoàng15@hotmail.com
86,Jane Vũ,+84-66-915676,janevũ52,$_A81XlPnv,janevũ52@yahoo.com
87,John Dương,02 7784 3910,johndương42,4JMc55lMG(,johndương42@yahoo.com
88,John Nguyễn,01 9529 0611,johnnguyễn55,^6SA9#$jj5,johnnguyễn55@hotmail.com
89,Jane Phạm,(02)845-2827,janephạm93,5$5B9QUbuN,janephạm93@hotmail.com
90,John Dương,+84-48-817 9175,johndương65,x8tOup2F*5,johndương65@gmail.com
91,Jane Lê,+84 53 7759163,janelê29,8d49Ccvh(P,janelê29@yahoo.com
92,Jane Vũ,(04)499-3897,janevũ52239,nS25VozJn(,janevũ52@hotmail.com
93,John Nguyễn,+84-05-307 3906,johnnguyễn79,$0N&LD$q1p,johnnguyễn79@hotmail.com
